id;name;full_name;birth_date;height_cm;weight_kgs;positions;nationality;overall_rating;potential;preferred_foot;international_reputation;weak_foot;skill_moves;body_type;difficulty
80;M. Parolo;Marco Parolo;1/25/1985;182.88;74.8;CDM,CM;Italy;82;82;Right;2;4;3;Lean;Hard
81;M. Kruse;Max Kruse;3/19/1988;154.94;76.2;CF,ST,CAM;Germany;82;82;Left;2;4;4;Normal;Hard
82;J. Henderson;Jordan Brian Henderson;6/17/1990;182.88;79.8;CDM,CM;England;82;82;Right;2;3;3;Normal;Hard
83;N. Gaitán;Osvaldo Nicolás Fabián Gaitán;2/23/1988;172.72;66.2;CAM;Argentina;82;82;Left;3;2;4;Lean;Medium
84;M. Arnautović;Marko Arnautović;4/19/1989;193.04;83.0;ST;Austria;82;82;Right;3;4;4;Normal;Medium
85;S. Giovinco;Sebastian Giovinco;1/26/1987;162.56;60.8;CF,ST;Italy;82;82;Right;2;4;4;Normal;Hard
86;G. Sigurðsson;Gylfi Þór Sigurðsson;9/8/1989;185.42;77.1;CAM;Iceland;82;82;Right;3;4;3;Normal;Medium
87;Giuliano;Giuliano Victor de Paula;5/31/1990;172.72;68.0;CAM,RW;Brazil;82;82;Right;2;3;4;Stocky;Hard
88;P. Gulácsi;Péter Gulácsi;5/6/1990;193.04;86.2;GK;Hungary;82;83;Right;2;2;1;Normal;Hard
89;Luiz Gustavo;Luiz Gustavo Dias;7/23/1987;187.96;78.0;CDM,CB;Brazil;82;82;Left;3;3;3;Lean;Medium
90;K. Trippier;Kieran Trippier;9/19/1990;152.4;72.1;RB,RWB;England;82;82;Right;2;4;3;Normal;Hard
91;A. Ramsey;Aaron Ramsey;12/26/1990;182.88;76.2;CM,CDM,CAM;Wales;82;82;Right;3;3;3;Lean;Medium
92;M. Balotelli;Mario  Barwuah Balotelli;8/12/1990;187.96;88.0;ST;Italy;82;82;Right;4;4;4;Normal;Easy
93;Marlos;Marlos Romero Bonfim;6/7/1988;175.26;68.9;RM;Ukraine;82;82;Left;2;4;5;Normal;Hard
94;Taison;Taison Barcellos Freda;1/13/1988;172.72;64.0;LM,CAM;Brazil;82;82;Right;2;3;4;Lean;Hard
95;G. Bonaventura;Giacomo Bonaventura;8/22/1989;154.94;74.8;CM,LW;Italy;82;82;Right;3;3;4;Lean;Medium
96;G. Kondogbia;Geoffrey Kondogbia;2/15/1993;187.96;79.8;CM,CDM;Central African Rep.;81;84;Left;2;2;4;Lean;Hard
97;J. Roussillon;Jérôme Roussillon;1/6/1993;175.26;79.8;LB,LWB,LM;France;81;83;Left;2;3;3;Stocky;Hard
98;S. Zaza;Simone Zaza;6/25/1991;185.42;83.9;ST;Italy;81;82;Left;2;3;4;Normal;Hard
99;S. Vrsaljko;Šime Vrsaljko;1/10/1992;154.94;76.2;RB;Croatia;81;81;Right;2;3;3;Lean;Hard
100;C. Kramer;Christoph Kramer;2/19/1991;190.5;76.2;CDM,CM;Germany;81;82;Right;2;3;3;Lean;Hard
101;B. Mendy;Benjamin Mendy;7/17/1994;185.42;84.8;LB;France;81;86;Left;2;3;3;Normal;Hard
102;M. Sabitzer;Marcel Sabitzer;3/17/1994;152.4;77.1;CAM,CM;Austria;81;84;Right;2;4;3;Normal;Hard
103;M. Nastasić;Matija Nastasić;3/28/1993;187.96;83.0;CB;Serbia;81;84;Left;2;2;2;Normal;Hard
104;A. Plea;Alassane Plea;3/10/1993;154.94;78.9;ST,LW;France;81;83;Right;2;3;4;Stocky;Hard
105;M. Ginter;Matthias Ginter;1/19/1994;187.96;83.0;CB,CDM;Germany;81;83;Right;2;3;2;Normal;Hard
106;Gerard Moreno;Gerard Moreno Balagueró;4/7/1992;154.94;77.1;ST;Spain;81;83;Left;1;4;4;Lean;Very Hard
107;A. Doucouré;Abdoulaye Doucouré;1/1/1993;182.88;76.2;CDM,CM;France;81;85;Right;2;3;3;Lean;Hard
108;R. Guerreiro;Raphaël Guerreiro;12/22/1993;170.18;71.2;LM,LB,CM;Portugal;81;84;Left;3;2;4;Normal;Medium
109;Ricardo Pereira;Ricardo Barbosa Pereira;10/6/1993;175.26;69.9;RB,RM;Portugal;81;84;Right;3;4;3;Lean;Medium
110;Samu Castillejo;Samuel Castillejo Azuaga;1/18/1995;182.88;67.1;RM,LM,CM;Spain;81;85;Left;2;2;4;Lean;Hard
111;J. Brandt;Julian Brandt;5/2/1996;185.42;83.9;LM,RM,CAM;Germany;81;88;Right;2;4;4;Lean;Hard
112;N. Pépé;Nicolas Pépé;5/29/1995;182.88;73.0;RM,RW,ST;Ivory Coast;80;88;Left;1;3;4;Lean;Very Hard
113;S. Bergwijn;Steven Bergwijn;10/8/1997;152.4;78.0;LW,RW;Netherlands;80;86;Right;1;2;4;Stocky;Very Hard
114;A. Onana;André Onana;4/2/1996;187.96;93.0;GK;Cameroon;80;85;Right;2;3;1;Stocky;Hard
115;F. Balbuena;Fabián Balbuena;8/23/1991;187.96;84.8;CB;Paraguay;80;83;Right;1;3;2;Normal;Very Hard
116;André Silva;André Miguel Valente da Silva;11/6/1995;185.42;78.9;ST;Portugal;80;87;Right;2;3;4;Normal;Hard
117;Oyarzabal;Mikel Oyarzabal Ugarte;4/21/1997;154.94;78.0;LW,LM,RW;Spain;80;87;Left;1;3;3;Lean;Very Hard
118;Everton Andrão;Everton Jorge Andrade Zanon;2/29/1984;152.4;74.8;CDM,CM;Brazil;80;80;Right;1;4;2;Stocky;Very Hard
119;Welington Dano;Welington Kauê Dano Nascimento;2/29/1988;152.4;68.9;LB,LM;Brazil;80;80;Left;1;4;4;Lean;Very Hard
120;Richarlison;Richarlison de Andrade;5/10/1997;154.94;71.2;ST,LW,LM;Brazil;80;86;Right;1;5;4;Normal;Very Hard
121;Odriozola;Álvaro Odriozola Arzalluz;12/14/1995;175.26;66.2;RB;Spain;80;88;Right;1;3;3;Lean;Very Hard
122;Carlos Soler;Carlos Soler Barragán;1/2/1997;154.94;76.2;RM,CM;Spain;80;87;Right;1;4;4;Lean;Very Hard
123;H. Aouar;Houssem Aouar;6/30/1998;175.26;69.9;CM,LM;France;80;90;Right;1;4;4;Lean;Very Hard
124;T. Ndombele;Tanguy NDombèlé Alvaro;12/28/1996;154.94;76.2;CM,CDM;France;80;89;Right;1;3;4;Normal;Very Hard
125;M. Gómez;Maximiliano Gómez;8/14/1996;185.42;83.9;ST;Uruguay;80;85;Right;1;3;4;Normal;Very Hard
126;Joaquín;Joaquín Sánchez Rodríguez;7/21/1981;152.4;74.8;LM,ST,RM;Spain;81;81;Right;2;3;4;Normal;Hard
127;J. Mathieu;Jérémy Mathieu;10/29/1983;187.96;83.9;CB;France;81;81;Left;3;2;2;Normal;Medium
128;J. Matip;Joël Andre Job Matip;8/8/1991;193.04;89.8;CB;Cameroon;80;82;Right;2;2;2;Lean;Hard
129;S. Aurier;Serge Aurier;12/24/1992;175.26;76.2;RB,RWB;Ivory Coast;80;83;Right;2;3;3;Normal;Hard
130;J. Guilavogui;Josuha Guilavogui;9/19/1990;187.96;77.1;CDM,CM;France;80;81;Right;2;3;2;Lean;Hard
131;A. Oxlade-Chamberlain;Alex Oxlade-Chamberlain;8/15/1993;175.26;69.9;CM,RM;England;80;85;Right;2;4;4;Stocky;Hard
132;M. Ryan;Mathew Ryan;4/8/1992;182.88;82.1;GK;Australia;80;83;Right;1;4;1;Normal;Very Hard
133;V. Aboubakar;Vincent Paté Aboubakar;1/22/1992;182.88;82.1;ST;Cameroon;80;81;Right;3;3;5;Normal;Medium
134;L. Muriel;Luis Fernando Muriel Fruto;4/16/1991;152.4;78.9;ST;Colombia;80;81;Right;2;4;4;Stocky;Hard
135;D. Vida;Domagoj Vida;4/29/1989;182.88;76.2;CB,RB;Croatia;80;80;Right;3;3;2;Lean;Medium
136;Ibai Gómez;Ibai Gómez Pérez;11/11/1989;152.4;72.1;RM,RW,LM;Spain;80;80;Right;1;5;3;Normal;Very Hard
137;Cristian Tello;Cristian Tello Herrera;8/19/1991;152.4;64.9;LM,RM;Spain;80;80;Right;2;4;4;Lean;Hard
138;Ismaily;Ismaily Gonçalves dos S.;1/11/1990;152.4;82.1;LB;Brazil;80;80;Left;1;2;4;Stocky;Very Hard
139;A. Mandi;Aïssa Mandi;10/22/1991;182.88;78.0;CB;Algeria;80;83;Right;1;3;2;Lean;Very Hard
140;C. Tătăruşanu;Anton Ciprian Tătărușanu;2/9/1986;195.58;86.2;GK;Romania;80;80;Right;2;3;1;Lean;Hard
141;J. Murillo;Jeison Fabián Murillo Cerón;5/27/1992;182.88;78.0;CB;Colombia;80;84;Right;2;2;2;Normal;Hard
142;E. Dier;Eric Dier;1/15/1994;187.96;89.8;CDM,CB,CM;England;80;84;Right;2;3;2;Normal;Hard
143;J. Butland;Jack Butland;3/10/1993;195.58;94.8;GK;England;80;85;Right;2;3;1;Normal;Hard
144;S. Sorrentino;Stefano Sorrentino;3/28/1979;185.42;84.8;GK;Italy;80;80;Right;2;3;1;Normal;Hard
145;W. Rooney;Wayne Mark Rooney;10/24/1985;175.26;83.0;ST;England;80;80;Right;4;4;3;Stocky;Easy
146;Moyá;Miguel Ángel Moyá Rumbo;4/2/1984;187.96;83.0;GK;Spain;80;80;Right;2;2;1;Normal;Hard
147;L. López;Lisandro López;3/2/1983;175.26;72.1;ST;Argentina;80;80;Right;2;4;4;Normal;Hard
148;J. Mascherano;Javier Alejandro Mascherano;6/8/1984;175.26;73.0;CDM,CB;Argentina;80;80;Right;4;3;2;Normal;Easy
149;Raffael;Raffael Caetano de Araújo;3/28/1985;175.26;68.9;CF,ST;Brazil;80;80;Right;2;4;4;Lean;Hard
150;Diego López;Diego López Rodríguez;11/3/1981;195.58;88.9;GK;Spain;80;80;Right;3;3;1;Lean;Medium
151;Juanfran;Juan Francisco Torres Belén;1/9/1985;154.94;71.2;RB;Spain;80;80;Right;3;3;3;Lean;Medium
152;I. Denisov;Igor Denisov;5/17/1984;175.26;69.9;CDM;Russia;80;80;Right;2;3;3;Normal;Hard
153;I. Akinfeev;Igor Akinfeev;4/8/1986;185.42;78.0;GK;Russia;80;80;Right;3;3;1;Normal;Medium
154;A. Gignac;André-Pierre Gignac;12/5/1985;187.96;91.2;ST;France;80;80;Right;3;3;3;Stocky;Medium
155;A. Granqvist;Andreas Granqvist;4/16/1985;193.04;83.9;CB;Sweden;80;80;Right;2;4;2;Normal;Hard
156;Manuel Fernandes;Manuel Henrique Tavares Fernandes;2/5/1986;175.26;74.8;LM,CAM;Portugal;80;80;Right;2;4;4;Normal;Hard
157;Dante;Dante Bonfim da Costa Santos;10/18/1983;187.96;84.8;CB;Brazil;80;80;Left;3;4;2;Normal;Medium
158;L. Perrin;Loïc Perrin;8/7/1985;154.94;79.8;CB;France;80;80;Right;2;3;2;Normal;Hard
159;Borja Valero;Borja Valero Iglesias;1/12/1985;175.26;73.0;CAM,CDM;Spain;80;80;Right;3;4;4;Normal;Medium
160;A. Januzaj;Adnan Januzaj;2/5/1995;185.42;76.2;RW,RM;Belgium;79;85;Left;1;4;4;Lean;Very Hard
161;J. Hector;Jonas Hector;5/27/1990;185.42;74.8;LB,CDM;Germany;79;79;Left;3;3;3;Normal;Medium
162;M. Dabbur;Moanes Dabour;5/14/1992;182.88;76.2;ST;Israel;79;81;Right;2;4;4;Normal;Hard
163;Óliver Torres;Óliver Torres Muñoz;11/10/1994;175.26;63.0;CM;Spain;79;84;Right;3;4;3;Normal;Medium
164;Y. Bounou;Yassine Bounou;4/5/1991;193.04;78.0;GK;Morocco;79;82;Left;1;3;1;Lean;Very Hard
165;J. Hofmann;Jonas Hofmann;7/14/1992;175.26;69.9;CAM,RM,LM;Germany;79;80;Right;2;4;3;Lean;Hard
166;Otávio;Otávio Edmilson da Silva Monteiro;2/9/1995;172.72;71.2;RM,CAM,CM;Brazil;79;85;Right;1;3;4;Normal;Very Hard
167;Jonny;Jonathan Castro Otto;3/3/1994;170.18;69.9;LWB;Spain;79;83;Right;2;3;4;Normal;Hard
168;L. Dendoncker;Leander Dendoncker;4/15/1995;187.96;88.0;CDM,CB,CM;Belgium;79;85;Right;2;4;2;Normal;Hard
169;R. Zobnin;Roman Zobnin;2/11/1994;182.88;74.8;CDM,CM,LM;Russia;79;86;Right;1;3;4;Lean;Very Hard
170;Ricardo Horta;Ricardo Jorge da Luz Horta;9/15/1994;172.72;63.0;LM;Portugal;79;84;Right;1;3;3;Lean;Very Hard
171;Thiago Mendes;Thiago Henrique Mendes Ribeiro;3/15/1992;152.4;79.8;CDM,CM,RM;Brazil;79;83;Right;1;3;4;Normal;Very Hard
172;J. Lerma;Jefferson Andrés Lerma Solís;10/25/1994;152.4;69.9;CDM,CM;Colombia;79;83;Right;1;4;3;Lean;Very Hard
173;J. Gbamin;Jean-Philippe Gbamin;9/25/1995;185.42;83.0;CDM,CM,CB;Ivory Coast;79;84;Right;1;3;3;Normal;Very Hard
174;I. Marcone;Iván Marcone;6/3/1990;182.88;83.0;CDM;Argentina;79;80;Right;1;3;3;Normal;Very Hard
175;D. Benedetto;Darío Benedetto;5/17/1990;152.4;79.8;ST;Argentina;79;79;Right;2;5;3;Normal;Hard
176;M. Hitz;Marwin Hitz;9/18/1987;193.04;88.9;GK;Switzerland;79;79;Right;2;3;1;Normal;Hard
177;N. Clyne;Nathaniel Edwin Clyne;4/5/1991;175.26;67.1;RB;England;79;80;Right;2;2;3;Normal;Hard
178;A. Ljajić;Adem Ljajić;9/29/1991;182.88;73.9;CAM,LW;Serbia;79;80;Right;2;4;4;Lean;Hard
179;J. Guðmundsson;Johann  Berg Guðmunds­son;10/27/1990;152.4;77.1;RM,LM;Iceland;79;79;Left;1;4;4;Normal;Very Hard
180;Elkeson;Elkeson de Oliveira Cardoso;7/13/1989;154.94;77.1;ST,CAM;Brazil;79;79;Right;2;4;4;Stocky;Hard
181;Kike García;Enrique García Martínez;11/25/1989;185.42;78.9;ST;Spain;79;79;Right;1;4;3;Normal;Very Hard
182;Escudero;Sergio Escudero Palomo;9/2/1989;175.26;72.1;LB,LM;Spain;79;79;Left;1;2;3;Lean;Very Hard
183;Herrerín;Iago Herrerín Buisán;1/25/1988;187.96;94.8;GK;Spain;79;79;Right;1;3;1;Normal;Very Hard
184;Víctor Ruiz;Víctor Ruíz Torre;1/25/1989;185.42;78.0;CB;Spain;79;79;Left;2;2;2;Normal;Hard
185;G. Medel;Gary Alexis Medel Soto;8/3/1987;170.18;64.9;CDM,CB;Chile;79;79;Right;3;4;3;Stocky;Medium
186;Y. Belhanda;Younès Belhanda;2/25/1990;152.4;74.8;CAM,LW;Morocco;79;79;Right;2;4;4;Normal;Hard
187;Hugo Mallo;Hugo Mallo Novegil;6/22/1991;175.26;72.1;RB;Spain;79;79;Right;2;3;3;Normal;Hard
188;Borja García;Borja García Freire;11/2/1990;175.26;72.1;LM,CM;Spain;79;79;Right;1;3;3;Normal;Very Hard
189;W. Khazri;Wahbi Khazri;2/8/1991;175.26;82.1;ST,CF,CAM,LM;Tunisia;79;79;Right;1;4;4;Stocky;Very Hard
190;P. Jones;Phil Jones;2/21/1992;185.42;71.2;CB;England;79;80;Right;2;3;2;Normal;Hard
191;A. Finnbogason;Alfreð Finnbogason;2/1/1989;182.88;79.8;ST;Iceland;79;79;Right;2;4;3;Normal;Hard
192;Vinícius Júnior;Vinícius José de Oliveira Júnior;7/12/2000;175.26;73.0;LW,RW;Brazil;78;92;Right;1;4;5;Lean;Very Hard
193;Junior Firpo;Héctor Junior Firpo Adamés;8/22/1996;182.88;74.8;LWB,LB,CB,LM;Spain;78;85;Left;1;3;3;Normal;Very Hard
194;E. Belözoğlu;Emre Belözoğlu;9/7/1980;170.18;72.1;CM,CDM;Turkey;79;79;Left;2;4;4;Stocky;Hard
195;Fernando Torres;Fernando José Torres Sanz;3/20/1984;185.42;78.9;ST;Spain;79;79;Right;3;4;3;Normal;Medium
196;B. Schweinsteiger;Bastian Schweinsteiger;8/1/1984;182.88;78.9;CDM,CB,CM;Germany;79;79;Right;4;3;3;Normal;Easy
197;B. Yılmaz;Burak Yılmaz;7/15/1985;187.96;77.1;ST;Turkey;79;79;Right;2;3;3;Lean;Hard
198;M. Gómez;Mario Gómez García;7/10/1985;187.96;88.9;ST;Germany;79;79;Right;3;4;3;Normal;Medium
199;A. Young;Ashley Young;7/9/1985;175.26;64.9;RB,LB;England;79;79;Right;2;3;4;Lean;Hard
200;R. Babel;Ryan Guno Babel;12/19/1986;185.42;84.8;LW;Netherlands;79;79;Right;3;3;4;Normal;Medium
201;B. Costil;Benoît Costil;7/3/1987;187.96;88.0;GK;France;79;79;Right;2;3;1;Normal;Hard
202;S. Kalou;Salomon Armand Magloire Kalou;8/5/1985;182.88;77.1;LM,ST,RM;Ivory Coast;79;79;Right;3;3;4;Lean;Medium
